Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num,Departing_Latitude,Departing_Longitude,Arriving_Latitude,Arriving_Longitude,Reliability
Canberra-Melbourne,Canberra,Melbourne,Virgin Australia,Jan-20,132,125,7,83,75,42,50,2020,1,-35.3069,149.195,-37.669,144.841,60.0
Canberra-Sydney,Canberra,Sydney,Virgin Australia,Jan-20,157,154,3,122,117,32,37,2020,1,-35.3069,149.195,-33.9399,151.1753,75.97402597402598
Darwin-Brisbane,Darwin,Brisbane,Virgin Australia,Jan-20,32,32,0,27,23,5,9,2020,1,-12.4147,130.8767,-27.3842,153.1175,71.875
Darwin-Melbourne,Darwin,Melbourne,Virgin Australia,Jan-20,31,31,0,28,27,3,4,2020,1,-12.4147,130.8767,-37.669,144.841,87.09677419354838
Darwin-Perth,Darwin,Perth,Virgin Australia,Jan-20,20,20,0,17,17,3,3,2020,1,-12.4147,130.8767,-31.9403,115.9676,85.0
Darwin-Sydney,Darwin,Sydney,Virgin Australia,Jan-20,25,25,0,21,18,4,7,2020,1,-12.4147,130.8767,-33.9399,151.1753,72.0
Gold Coast-Adelaide,Gold Coast,Adelaide,Virgin Australia,Jan-20,34,34,0,17,26,17,8,2020,1,-28.1644,153.5051,-34.945,138.5306,76.47058823529412
Gold Coast-Melbourne,Gold Coast,Melbourne,Virgin Australia,Jan-20,224,222,2,98,124,124,98,2020,1,-28.1644,153.5051,-37.669,144.841,55.85585585585585
Gold Coast-Sydney,Gold Coast,Sydney,Virgin Australia,Jan-20,272,269,3,154,172,115,97,2020,1,-28.1644,153.5051,-33.9399,151.1753,63.94052044609665
Melbourne-Adelaide,Melbourne,Adelaide,Virgin Australia,Jan-20,257,248,9,188,165,60,83,2020,1,-37.669,144.841,-34.945,138.5306,66.53225806451613
Melbourne-Brisbane,Melbourne,Brisbane,Virgin Australia,Jan-20,363,344,19,263,230,81,114,2020,1,-37.669,144.841,-27.3842,153.1175,66.86046511627907
Melbourne-Cairns,Melbourne,Cairns,Virgin Australia,Jan-20,44,44,0,40,38,4,6,2020,1,-37.669,144.841,-16.8858,145.7553,86.36363636363636
